ID,Action Date,Title,Vote,Meeting Body,File #,category,summary,scorer_field,affordable_housing_development_score,tenant_protections_score,homelessness_and_supportive_housing_score,faster_permitting_process_and_bureaucracy_score,land_use_and_zoning_reform_score
143,2024-09-17 00:00:00,"Ordinance approving Surveillance Technology Policy for the Department of Emergency Management’s use of ShotSpotter, a gunfire detection technology.",Aye,Board of Supervisors,240330.0,Non-Housing,SF approves policy for ShotSpotter use by Emergency Management for gunfire detection.,"""Non-Housing"", ""Aye"", ""Ordinance approving Surveillance Technology Policy for the Department of Emergency Management’s use of ShotSpotter, a gunfire detection technology.""",0.0,0.0,0.0,0.0,0.0
144,2024-09-17 00:00:00,"Ordinance amending the Administrative Code to exempt the Legacy Business Assistance Program from the grantmaking requirements under Administrative Code, Chapter 21G, and all other provisions in the Administrative, Labor and Employment, Environment, and Police Codes imposing obligations or other restrictions on contractors.",Aye,Board of Supervisors,240470.0,Non-Housing,SF exempts Legacy Business Assistance Program from grantmaking requirements and other restrictions on contractors.,"""Non-Housing"", ""Aye"", ""Ordinance amending the Administrative Code to exempt the Legacy Business Assistance Program from the grantmaking requirements under Administrative Code, Chapter 21G, and all other provisions in the Administrative, Labor and Employment, Environment, and Police Codes imposing obligations or other restrictions on contractors.""",0.0,0.0,0.0,0.0,0.0
145,2024-09-17 00:00:00,"Motion approving the Treasurer’s nomination of Jackie Chen (residency requirement waived) to the Treasury Oversight Committee, for a term ending June 17, 2026.",Aye,Board of Supervisors,240748.0,Non-Housing/NaN,"SF approves Jackie Chen for Treasury Oversight Committee until June 17, 2026.","""Non-Housing/NaN"", ""Aye"", ""Motion approving the Treasurer’s nomination of Jackie Chen (residency requirement waived) to the Treasury Oversight Committee, for a term ending June 17, 2026.""",0.0,0.0,0.0,0.0,0.0
146,2024-09-17 00:00:00,"Motion appointing Katherine Jackson and Noriko Lim-Tepper, for indefinite terms, to the Food Security Task Force.",Aye,Board of Supervisors,240821.0,Non-Housing/NaN,Appointing Katherine Jackson and Noriko Lim-Tepper to Food Security Task Force for indefinite terms.,"""Non-Housing/NaN"", ""Aye"", ""Motion appointing Katherine Jackson and Noriko Lim-Tepper, for indefinite terms, to the Food Security Task Force.""",0.0,0.0,0.0,0.0,0.0
147,2024-09-17 00:00:00,"Ordinance approving the Police Department’s inventory and policy relating to the use of unassisted aerial vehicles, or drones, and making findings consistent with the criteria in State law.",Aye,Board of Supervisors,240636.0,Non-Housing,"SF approves Police Department drone policy, meets State law criteria.","""Non-Housing"", ""Aye"", ""Ordinance approving the Police Department’s inventory and policy relating to the use of unassisted aerial vehicles, or drones, and making findings consistent with the criteria in State law.""",0.0,0.0,0.0,0.0,0.0
148,2024-09-17 00:00:00,"Ordinance requiring that the new Public Library branch serving the Oceanview, Merced Heights, Ingleside, and Lakeview neighborhoods be built on the City-owned parcel of land at 100 Orizaba Avenue (Assessor's Parcel Block No. 7136, Lot No. 060), subject to environmental review, required approvals, and other applicable laws; and prohibiting the expenditure of City funds to explore, pursue, or plan construction of a new Public Library branch serving those neighborhoods at any alternate location except to expand the existing Oceanview Branch Library located at 345 Randolph Street on any adjacent p",Aye,Board of Supervisors,240699.0,Land Use and Zoning Reforms,"SF ordinance mandates new library branch at 100 Orizaba Ave for Oceanview, Merced Heights, Ingleside, Lakeview neighborhoods, limiting funds for alternatives.","""Land Use and Zoning Reforms"", ""Aye"", ""Ordinance requiring that the new Public Library branch serving the Oceanview, Merced Heights, Ingleside, and Lakeview neighborhoods be built on the City-owned parcel of land at 100 Orizaba Avenue (Assessor's Parcel Block No. 7136, Lot No. 060), subject to environmental review, required approvals, and other applicable laws; and prohibiting the expenditure of City funds to explore, pursue, or plan construction of a new Public Library branch serving those neighborhoods at any alternate location except to expand the existing Oceanview Branch Library located at 345 Randolph Street on any adjacent p""",0.0,0.0,0.0,0.0,0.5
149,2024-09-17 00:00:00,"Resolution recognizing the week of September 21 through September 27, 2024, as United Against Hate Week in the City and County of San Francisco.",Aye,Board of Supervisors,240887.0,Non-Housing,"SF designates Sept 21-27, 2024, as United Against Hate Week.","""Non-Housing"", ""Aye"", ""Resolution recognizing the week of September 21 through September 27, 2024, as United Against Hate Week in the City and County of San Francisco.""",0.0,0.0,0.0,0.0,0.0
150,2024-09-17 00:00:00,"Resolution declaring September 16, 2024, as """"Mahsa Amini Day"""" in the City and County of San Francisco.",Aye,Board of Supervisors,240888.0,Non-Housing,"""San Francisco designates September 16, 2024, as """"Mahsa Amini Day.""""""","""Non-Housing"", ""Aye"", ""Resolution declaring September 16, 2024, as """"Mahsa Amini Day"""" in the City and County of San Francisco.""",0.0,0.0,0.0,0.0,0.0
151,2024-09-17 00:00:00,"Motion scheduling the Board of Supervisors to sit as a Committee of the Whole, as the Budget and Finance Committee, on October 22, 2024, at 3:00 p.m., to hold a public hearing to consider 1) an Ordinance for the proposed Amendment to the Redevelopment Plan for the Bayview Hunters Point Redevelopment Project Area; 2) an Ordinance for the proposed Amendment to the Redevelopment Plan for the Hunters Point Shipyard Redevelopment Project Area; and 3) a Resolution for the proposed Amendment to the Tax Increment Allocation Pledge Agreement for the Candlestick Point and Phase 2 of the Hunters Point Sh",Aye,Board of Supervisors,240875.0,Land Use and Zoning Reforms,"SF Board to review amendments to Bayview Hunters Point and Hunters Point Shipyard Redevelopment Plans on Oct 22, 2024.","""Land Use and Zoning Reforms"", ""Aye"", ""Motion scheduling the Board of Supervisors to sit as a Committee of the Whole, as the Budget and Finance Committee, on October 22, 2024, at 3:00 p.m., to hold a public hearing to consider 1) an Ordinance for the proposed Amendment to the Redevelopment Plan for the Bayview Hunters Point Redevelopment Project Area; 2) an Ordinance for the proposed Amendment to the Redevelopment Plan for the Hunters Point Shipyard Redevelopment Project Area; and 3) a Resolution for the proposed Amendment to the Tax Increment Allocation Pledge Agreement for the Candlestick Point and Phase 2 of the Hunters Point Sh""",0.0,0.0,0.0,0.0,-0.2
152,2024-09-17 00:00:00,"Motion scheduling the Board of Supervisors to sit as a Committee of the Whole, as the Budget and Finance Committee, on October 22, 2024, at 3:00 p.m., to hold a public hearing to consider 1) an Ordinance for the proposed Amendment to the Redevelopment Plan for the Bayview Hunters Point Redevelopment Project Area; 2) an Ordinance for the proposed Amendment to the Redevelopment Plan for the Hunters Point Shipyard Redevelopment Project Area; and 3) a Resolution for the proposed Amendment to the Tax Increment Allocation Pledge Agreement for the Candlestick Point and Phase 2 of the Hunters Point Sh",Aye,Board of Supervisors,240875.0,Land Use and Zoning Reforms,"SF Board to review amendments to Bayview Hunters Point and Hunters Point Shipyard Redevelopment Plans on Oct 22, 2024.","""Land Use and Zoning Reforms"", ""Aye"", ""Motion scheduling the Board of Supervisors to sit as a Committee of the Whole, as the Budget and Finance Committee, on October 22, 2024, at 3:00 p.m., to hold a public hearing to consider 1) an Ordinance for the proposed Amendment to the Redevelopment Plan for the Bayview Hunters Point Redevelopment Project Area; 2) an Ordinance for the proposed Amendment to the Redevelopment Plan for the Hunters Point Shipyard Redevelopment Project Area; and 3) a Resolution for the proposed Amendment to the Tax Increment Allocation Pledge Agreement for the Candlestick Point and Phase 2 of the Hunters Point Sh""",0.0,0.0,0.0,0.0,0.5
153,2024-09-17 00:00:00,"Motion that the Board of Supervisors convene in closed session on September 24, 2024, at 2:30 p.m., pursuant to California Government Code, Section 54956.9, and San Francisco Administrative Code, Section 67.10(d)(1), for the purpose of conferring with, or receiving advice from, the City Attorney regarding existing litigation in which the City is a party: City and County of San Francisco v. United States Environmental Protection Agency (United States Supreme Court) Case No. 23-753.",Aye,Board of Supervisors,240889.0,Non-Housing,SF Board of Supervisors to meet in closed session on 9/24/2024 for legal advice on City v. EPA litigation.,"""Non-Housing"", ""Aye"", ""Motion that the Board of Supervisors convene in closed session on September 24, 2024, at 2:30 p.m., pursuant to California Government Code, Section 54956.9, and San Francisco Administrative Code, Section 67.10(d)(1), for the purpose of conferring with, or receiving advice from, the City Attorney regarding existing litigation in which the City is a party: City and County of San Francisco v. United States Environmental Protection Agency (United States Supreme Court) Case No. 23-753.""",0.0,0.0,0.0,0.0,0.0
154,2024-09-17 00:00:00,"Motion that the Board of Supervisors convene in closed session on September 24, 2024, at 2:30 p.m., pursuant to California Government Code, Section 54956.9, and San Francisco Administrative Code, Section 67.10(d)(1), for the purpose of conferring with, or receiving advice from, the City Attorney regarding existing litigation in which the City is a party: City and County of San Francisco v. United States Environmental Protection Agency (United States Supreme Court) Case No. 23-753.",Aye,Board of Supervisors,240889.0,Non-Housing,SF Board of Supervisors to meet in closed session on 9/24/2024 for legal advice on City v. EPA litigation.,"""Non-Housing"", ""Aye"", ""Motion that the Board of Supervisors convene in closed session on September 24, 2024, at 2:30 p.m., pursuant to California Government Code, Section 54956.9, and San Francisco Administrative Code, Section 67.10(d)(1), for the purpose of conferring with, or receiving advice from, the City Attorney regarding existing litigation in which the City is a party: City and County of San Francisco v. United States Environmental Protection Agency (United States Supreme Court) Case No. 23-753.""",0.0,0.0,0.0,0.0,0.0
155,2024-09-16 00:00:00,"Ordinance amending the Administrative Code to establish the Greater Downtown Community Benefit District Master Permitting for Entertainment Activation Program (“Greater Downtown Activation Program”) to coordinate and streamline permitting for Community Benefit District-sponsored public events taking place at certain locations in the Greater Downtown Area, and to designate Greater Downtown Activation Program locations as Entertainment Zones to allow the off-site consumption of alcoholic beverages purchased at businesses within the Entertainment Zone during events; amending the Public Works Code",Aye,Land Use and Transportation Committee,240804.0,Permitting Process and Bureaucratic Efficiency,SF establishes Greater Downtown Activation Program for streamlined event permitting and off-site alcohol consumption in Entertainment Zones.,"""Permitting Process and Bureaucratic Efficiency"", ""Aye"", ""Ordinance amending the Administrative Code to establish the Greater Downtown Community Benefit District Master Permitting for Entertainment Activation Program (“Greater Downtown Activation Program”) to coordinate and streamline permitting for Community Benefit District-sponsored public events taking place at certain locations in the Greater Downtown Area, and to designate Greater Downtown Activation Program locations as Entertainment Zones to allow the off-site consumption of alcoholic beverages purchased at businesses within the Entertainment Zone during events; amending the Public Works Code""",0.0,0.0,0.0,0.8,0.0
156,2024-09-16 00:00:00,"Ordinance amending the Administrative Code to establish the Greater Downtown Community Benefit District Master Permitting for Entertainment Activation Program (“Greater Downtown Activation Program”) to coordinate and streamline permitting for Community Benefit District-sponsored public events taking place at certain locations in the Greater Downtown Area, and to designate Greater Downtown Activation Program locations as Entertainment Zones to allow the off-site consumption of alcoholic beverages purchased at businesses within the Entertainment Zone during events; amending the Public Works Code",Aye,Land Use and Transportation Committee,240804.0,Permitting Process and Bureaucratic Efficiency,SF creates Greater Downtown Activation Program for streamlined event permitting and off-site alcohol consumption in Entertainment Zones.,"""Permitting Process and Bureaucratic Efficiency"", ""Aye"", ""Ordinance amending the Administrative Code to establish the Greater Downtown Community Benefit District Master Permitting for Entertainment Activation Program (“Greater Downtown Activation Program”) to coordinate and streamline permitting for Community Benefit District-sponsored public events taking place at certain locations in the Greater Downtown Area, and to designate Greater Downtown Activation Program locations as Entertainment Zones to allow the off-site consumption of alcoholic beverages purchased at businesses within the Entertainment Zone during events; amending the Public Works Code""",0.0,0.0,0.0,0.8,0.0
157,2024-09-16 00:00:00,"Ordinance designating a portion of the sidewalk near the corner of Woodland Avenue at Parnassus Avenue as the site of a future commemorative plaque in honor of the former activists of Woodland Avenue (Jane Morrison, Jack Morrison, Diana Roosevelt Jaicks, Agar Jaicks); granting the Public Works Director authority to approve the installation of said plaque to be installed at said location following the Director’s review of all permit application materials and the approval of the plaque design by the Design Review Committee of the Arts Commission; waiving permit and inspection fees under the Publ",Aye,Land Use and Transportation Committee,240801.0,Land Use and Zoning Reforms,"SF ordinance to honor Woodland Avenue activists with a commemorative plaque, granting authority for installation and waiving fees.","""Land Use and Zoning Reforms"", ""Aye"", ""Ordinance designating a portion of the sidewalk near the corner of Woodland Avenue at Parnassus Avenue as the site of a future commemorative plaque in honor of the former activists of Woodland Avenue (Jane Morrison, Jack Morrison, Diana Roosevelt Jaicks, Agar Jaicks); granting the Public Works Director authority to approve the installation of said plaque to be installed at said location following the Director’s review of all permit application materials and the approval of the plaque design by the Design Review Committee of the Arts Commission; waiving permit and inspection fees under the Publ""",0.0,0.0,0.0,0.0,0.2
158,2024-09-16 00:00:00,"Ordinance amending the Planning Code to expand the boundaries of the Central Neighborhoods Large Residence Special Use District (SUD), and to apply its controls to all lots within the SUD, with some exceptions; to delete the Corona Heights Large Residence SUD, and as a result to merge it into the Central Neighborhoods Large Residence SUD; amending the Zoning Map to reflect the deletion and boundary expansion; affirming the Planning Department’s determination under the California Environmental Quality Act; and making public necessity, convenience, and welfare findings under Planning Code, Secti",Aye,Land Use and Transportation Committee,240637.0,Land Use and Zoning Reforms,"SF expands Central Neighborhoods SUD, merges Corona Heights SUD, updates Zoning Map, affirms environmental impact, and makes welfare findings.","""Land Use and Zoning Reforms"", ""Aye"", ""Ordinance amending the Planning Code to expand the boundaries of the Central Neighborhoods Large Residence Special Use District (SUD), and to apply its controls to all lots within the SUD, with some exceptions; to delete the Corona Heights Large Residence SUD, and as a result to merge it into the Central Neighborhoods Large Residence SUD; amending the Zoning Map to reflect the deletion and boundary expansion; affirming the Planning Department’s determination under the California Environmental Quality Act; and making public necessity, convenience, and welfare findings under Planning Code, Secti""",0.0,0.0,0.0,0.0,0.8
159,2024-09-16 00:00:00,"Ordinance amending the Planning Code to expand the boundaries of the Central Neighborhoods Large Residence Special Use District (SUD), and to apply its controls to all lots within the SUD, with some exceptions; to delete the Corona Heights Large Residence SUD, and as a result to merge it into the Central Neighborhoods Large Residence SUD; amending the Zoning Map to reflect the deletion and boundary expansion; affirming the Planning Department’s determination under the California Environmental Quality Act; and making public necessity, convenience, and welfare findings under Planning Code, Secti",Aye,Land Use and Transportation Committee,240637.0,Land Use and Zoning Reforms,"SF expands Central Neighborhoods SUD, merges Corona Heights SUD, updates Zoning Map, affirms CEQA, and makes welfare findings.","""Land Use and Zoning Reforms"", ""Aye"", ""Ordinance amending the Planning Code to expand the boundaries of the Central Neighborhoods Large Residence Special Use District (SUD), and to apply its controls to all lots within the SUD, with some exceptions; to delete the Corona Heights Large Residence SUD, and as a result to merge it into the Central Neighborhoods Large Residence SUD; amending the Zoning Map to reflect the deletion and boundary expansion; affirming the Planning Department’s determination under the California Environmental Quality Act; and making public necessity, convenience, and welfare findings under Planning Code, Secti""",0.0,0.0,0.0,0.0,0.8
160,2024-09-10 00:00:00,"Ordinance authorizing the execution and delivery of Certificates of Participation on a tax-exempt or taxable basis evidencing and representing an aggregate principal amount of not to exceed $29,000,000 to fund all or a portion of the acquisition of the Concourse Garage; authorizing the issuance of commercial paper notes in advance of the delivery of the Certificates; approving the form of Trust Agreement between the City and County of San Francisco and the Trustee (including certain indemnities contained therein); authorizing the selection of the Trustee by the Director of Public Finance; appr",Aye,Board of Supervisors,240723.0,Land Use and Zoning Reforms,SF authorizes up to $29M for Concourse Garage acquisition via Certificates of Participation and commercial paper notes issuance.,"""Land Use and Zoning Reforms"", ""Aye"", ""Ordinance authorizing the execution and delivery of Certificates of Participation on a tax-exempt or taxable basis evidencing and representing an aggregate principal amount of not to exceed $29,000,000 to fund all or a portion of the acquisition of the Concourse Garage; authorizing the issuance of commercial paper notes in advance of the delivery of the Certificates; approving the form of Trust Agreement between the City and County of San Francisco and the Trustee (including certain indemnities contained therein); authorizing the selection of the Trustee by the Director of Public Finance; appr""",0.0,0.0,0.0,0.0,0.5
161,2024-09-10 00:00:00,"Ordinance amending the Business and Tax Regulations Code to reduce the real property transfer tax rates from 5.5% to 3% when the consideration or value of the interest or property conveyed is at least $10,000,000 but less than $25,000,000; and from 6% to 3% when the consideration or value of the interest or property conveyed equals or exceeds $25,000,000 for transfers of certain properties with at least 12% rent-restricted affordable units, that were constructed using union labor, and had a debt or equity investment of at least $25,000,000 from a union pension fund at the time of the transfer;",Aye,Board of Supervisors,240728.0,Affordable Housing Development,SF reduces property transfer tax rates for affordable units with union labor and pension fund investment over $25M.,"""Affordable Housing Development"", ""Aye"", ""Ordinance amending the Business and Tax Regulations Code to reduce the real property transfer tax rates from 5.5% to 3% when the consideration or value of the interest or property conveyed is at least $10,000,000 but less than $25,000,000; and from 6% to 3% when the consideration or value of the interest or property conveyed equals or exceeds $25,000,000 for transfers of certain properties with at least 12% rent-restricted affordable units, that were constructed using union labor, and had a debt or equity investment of at least $25,000,000 from a union pension fund at the time of the transfer;""",0.8,0.0,0.0,0.0,0.0
162,2024-09-10 00:00:00,"Ordinance de-appropriating $399,950 from General City Responsibility and $150,000 from Municipal Transportation Agency (MTA) and re-appropriating $50,000 to the Arts Commission (ART) for mural artwork in West Portal; $125,000 to Children, Youth and Their Families (CHF) for picnic tables at Commodore Sloat Elementary, Playground improvements and seating at Sunnyside Elementary, and a new playground at Jefferson Elementary; $162,750 to the Department of Public Works (DPW) for maintenance of Westwood Park pillars, benches at Monterey and Gennessee, parklet planting in Inner Sunset, median plantin",Aye,Board of Supervisors,240765.0,Non-Housing,"SF reallocates funds for murals, playgrounds, park maintenance, and plantings in various locations.","""Non-Housing"", ""Aye"", ""Ordinance de-appropriating $399,950 from General City Responsibility and $150,000 from Municipal Transportation Agency (MTA) and re-appropriating $50,000 to the Arts Commission (ART) for mural artwork in West Portal; $125,000 to Children, Youth and Their Families (CHF) for picnic tables at Commodore Sloat Elementary, Playground improvements and seating at Sunnyside Elementary, and a new playground at Jefferson Elementary; $162,750 to the Department of Public Works (DPW) for maintenance of Westwood Park pillars, benches at Monterey and Gennessee, parklet planting in Inner Sunset, median plantin""",0.0,0.0,0.0,0.0,0.0
163,2024-09-10 00:00:00,"Resolution approving the terms and conditions and authorizing the General Manager of the San Francisco Public Utilities Commission to execute a Purchase and Sale Agreement and Easement Deed with San Mateo County Flood and Sea Level Rise Resiliency District for the acquisition of a 1,386-square-foot easement for an aerial water pipeline crossing and associated footings and braces across a portion of San Mateo County Assessor’s Parcel Block No. 011-322-200 for $70,000 plus an administrative fee of $3,500 and up to $10,000 in closing costs, for a total amount not to exceed $83,500 pursuant to Cha",Aye,Board of Supervisors,240737.0,Land Use and Zoning Reforms,SF approves $83.5K deal for water pipeline easement with San Mateo County Flood District.,"""Land Use and Zoning Reforms"", ""Aye"", ""Resolution approving the terms and conditions and authorizing the General Manager of the San Francisco Public Utilities Commission to execute a Purchase and Sale Agreement and Easement Deed with San Mateo County Flood and Sea Level Rise Resiliency District for the acquisition of a 1,386-square-foot easement for an aerial water pipeline crossing and associated footings and braces across a portion of San Mateo County Assessor’s Parcel Block No. 011-322-200 for $70,000 plus an administrative fee of $3,500 and up to $10,000 in closing costs, for a total amount not to exceed $83,500 pursuant to Cha""",0.0,0.0,0.0,0.0,-0.2
164,2024-09-10 00:00:00,"Resolution retroactively authorizing the Office of the Treasurer and Tax Collector to accept and expend a grant increase in amount of $65,000 for a total amount of $181,368 from Larkin Street Youth Services for the purpose of providing one-on-one financial coaching to Transitional Age Youth through the Rising Up campaign from July 1, 2023, through October 31, 2024.",Aye,Board of Supervisors,240743.0,Homelessness and Supportive Housing,"SF authorizes $65,000 grant increase for financial coaching to Transitional Age Youth from Larkin Street Youth Services.","""Homelessness and Supportive Housing"", ""Aye"", ""Resolution retroactively authorizing the Office of the Treasurer and Tax Collector to accept and expend a grant increase in amount of $65,000 for a total amount of $181,368 from Larkin Street Youth Services for the purpose of providing one-on-one financial coaching to Transitional Age Youth through the Rising Up campaign from July 1, 2023, through October 31, 2024.""",0.0,0.0,0.6,0.0,0.0
165,2024-09-10 00:00:00,"Resolution approving and authorizing the Director of Property, on behalf of the Human Services Agency, Department of Disability and Aging Services, to execute a Lease agreement with THE KELSEY CIVIC CENTER, LLC, for use of the ground floor commercial space at 240 Van Ness Avenue as a Disability Community Cultural Center for the term of 15 years with three five-year options to extend and an annual base rent of $60,353 with 2% annual increases beginning January 1, 2026, effective upon approval of this Resolution; authorizing the City’s contribution of up to $1,167,500 towards the cost of tenant",Aye,Board of Supervisors,240747.0,Affordable Housing Development,"""SF approves lease for Disability Community Cultural Center at 240 Van Ness Ave with $60,353 annual rent and $1,167,500 contribution.""","""Affordable Housing Development"", ""Aye"", ""Resolution approving and authorizing the Director of Property, on behalf of the Human Services Agency, Department of Disability and Aging Services, to execute a Lease agreement with THE KELSEY CIVIC CENTER, LLC, for use of the ground floor commercial space at 240 Van Ness Avenue as a Disability Community Cultural Center for the term of 15 years with three five-year options to extend and an annual base rent of $60,353 with 2% annual increases beginning January 1, 2026, effective upon approval of this Resolution; authorizing the City’s contribution of up to $1,167,500 towards the cost of tenant""",0.6,0.0,0.0,0.0,0.0
166,2024-09-10 00:00:00,"Resolution approving Amendment No. 2 to Contract No. PRO.0164, Engineering Services for the Lower Alemany Area Stormwater Improvement Project, between the City, acting by and through the San Francisco Public Utilities Commission (SFPUC), and McMillen Jacobs Associates (dba Delve Underground), increasing the agreement by $8,300,000 for a total not to exceed amount of $17,800,000 and extending the duration by three years, for a total term of nine years from January 18, 2022, through January 17, 2031, due to additional engineering needed to perform analyses, refine design as part of the Caltrans",Aye,Board of Supervisors,240753.0,Land Use and Zoning Reforms,"SF approves $8.3M increase for stormwater project engineering services, extending contract with McMillen Jacobs Associates.","""Land Use and Zoning Reforms"", ""Aye"", ""Resolution approving Amendment No. 2 to Contract No. PRO.0164, Engineering Services for the Lower Alemany Area Stormwater Improvement Project, between the City, acting by and through the San Francisco Public Utilities Commission (SFPUC), and McMillen Jacobs Associates (dba Delve Underground), increasing the agreement by $8,300,000 for a total not to exceed amount of $17,800,000 and extending the duration by three years, for a total term of nine years from January 18, 2022, through January 17, 2031, due to additional engineering needed to perform analyses, refine design as part of the Caltrans""",0.0,0.0,0.0,0.0,-0.6
167,2024-09-10 00:00:00,"Resolution authorizing the Mayor’s Office of Housing and Community Development on behalf of the City and County of San Francisco to execute and submit a grant application for a grant to fund affordable housing development under the California Department of Housing and Community Development’s Local Housing Trust Fund Program, for an amount not to exceed $5,000,000.",Aye,Board of Supervisors,240813.0,Affordable Housing Development,SF resolution for $5M grant app for affordable housing development under CA Housing Trust Fund Program.,"""Affordable Housing Development"", ""Aye"", ""Resolution authorizing the Mayor’s Office of Housing and Community Development on behalf of the City and County of San Francisco to execute and submit a grant application for a grant to fund affordable housing development under the California Department of Housing and Community Development’s Local Housing Trust Fund Program, for an amount not to exceed $5,000,000.""",0.8,0.0,0.0,0.0,0.0
168,2024-09-10 00:00:00,"Ordinance authorizing settlement of the lawsuit filed by David M. Schmitt. against Build Group, Inc., which then filed a cross-complaint against the City and County of San Francisco, for $350,000; the lawsuit was filed on August 30, 2022, in San Francisco Superior Court, Case No. CGC-22-601503, entitled David M. Schmitt v. Build Group, Inc. et al.; the lawsuit involves allegations of breach of contract arising from cost overruns and delay on the Zuckerberg San Francisco General Hospital Building 5 Rehabilitation Department Relocation Project; other material terms of the settlement are a comple",Aye,Board of Supervisors,240762.0,Non-Housing,"Settlement of lawsuit by David M. Schmitt against Build Group, Inc. for $350,000 over contract breach on hospital project.","""Non-Housing"", ""Aye"", ""Ordinance authorizing settlement of the lawsuit filed by David M. Schmitt. against Build Group, Inc., which then filed a cross-complaint against the City and County of San Francisco, for $350,000; the lawsuit was filed on August 30, 2022, in San Francisco Superior Court, Case No. CGC-22-601503, entitled David M. Schmitt v. Build Group, Inc. et al.; the lawsuit involves allegations of breach of contract arising from cost overruns and delay on the Zuckerberg San Francisco General Hospital Building 5 Rehabilitation Department Relocation Project; other material terms of the settlement are a comple""",0.0,0.0,0.0,0.0,0.0
169,2024-09-10 00:00:00,Resolution proclaiming September 2024 as the Ninth Annual San Francisco Transit Month in the City and County of San Francisco.,Aye,Board of Supervisors,240852.0,Non-Housing,"""SF designates September 2024 as Ninth Annual Transit Month.""","""Non-Housing"", ""Aye"", ""Resolution proclaiming September 2024 as the Ninth Annual San Francisco Transit Month in the City and County of San Francisco.""",0.0,0.0,0.0,0.0,0.0
170,2024-09-10 00:00:00,"Resolution retroactively authorizing the San Francisco Police Department (“SFPD”) to enter into a Use Agreement with CSUITEMUSIC, LLC (“Producer”) to develop and produce a documentary, entitled “SFPD Journey to Justice,” about Sojourn to the Past, a retracing of the Civil Rights Movement and its connection to the modern policing profession, granting all necessary trademark licenses and rights to traditional and digital networks.",Aye,Board of Supervisors,240853.0,Non-Housing,SF authorizes SFPD documentary on Civil Rights Movement for traditional and digital networks.,"""Non-Housing"", ""Aye"", ""Resolution retroactively authorizing the San Francisco Police Department (“SFPD”) to enter into a Use Agreement with CSUITEMUSIC, LLC (“Producer”) to develop and produce a documentary, entitled “SFPD Journey to Justice,” about Sojourn to the Past, a retracing of the Civil Rights Movement and its connection to the modern policing profession, granting all necessary trademark licenses and rights to traditional and digital networks.""",0.0,0.0,0.0,0.0,0.0
171,2024-09-10 00:00:00,"Resolution consolidating the following elections, all of which will be held on November 5, 2024, the State of California General Election; the City and County of San Francisco Municipal Election; City and County of San Francisco’s Special Bond Election; the Bay Area Rapid Transit District Election; the San Francisco Unified School District Board of Education (School Board) Election; the School Board Special Election for General Obligation Bonds; and the San Francisco Community College Board of Trustees Election; and providing that the election precincts, voting places, and officers for these e",Aye,Board of Supervisors,240854.0,Non-Housing,"""SF resolution consolidates multiple elections on Nov 5, 2024, including State and local elections, school board, and bond elections.""","""Non-Housing"", ""Aye"", ""Resolution consolidating the following elections, all of which will be held on November 5, 2024, the State of California General Election; the City and County of San Francisco Municipal Election; City and County of San Francisco’s Special Bond Election; the Bay Area Rapid Transit District Election; the San Francisco Unified School District Board of Education (School Board) Election; the School Board Special Election for General Obligation Bonds; and the San Francisco Community College Board of Trustees Election; and providing that the election precincts, voting places, and officers for these e""",0.0,0.0,0.0,0.0,0.0
172,2024-09-10 00:00:00,"Resolution extending by 180 days the prescribed time within which the Planning Commission may render its decision on an Ordinance (File No. 240729) amending the Planning Code to permit new floor area or building volume on the rooftop of a noncomplying structure located at 1896 Pacific Avenue, on Assessor’s Parcel Block No. 0576, Lot Nos. 27-44; affirming the Planning Department’s determination under the California Environmental Quality Act; making public necessity, convenience, and welfare findings under Planning Code, Section 302; and making findings of consistency with the General Plan, and",Aye,Board of Supervisors,240855.0,Land Use and Zoning Reforms,"""SF extends Planning Commission decision time for rooftop expansion at 1896 Pacific Avenue.""","""Land Use and Zoning Reforms"", ""Aye"", ""Resolution extending by 180 days the prescribed time within which the Planning Commission may render its decision on an Ordinance (File No. 240729) amending the Planning Code to permit new floor area or building volume on the rooftop of a noncomplying structure located at 1896 Pacific Avenue, on Assessor’s Parcel Block No. 0576, Lot Nos. 27-44; affirming the Planning Department’s determination under the California Environmental Quality Act; making public necessity, convenience, and welfare findings under Planning Code, Section 302; and making findings of consistency with the General Plan, and""",0.0,0.0,0.0,0.0,0.4
173,2024-09-10 00:00:00,Resolution recognizing September 2024 as National Service Dog Awareness Month in the City and County of San Francisco.,Aye,Board of Supervisors,240856.0,Non-Housing/NaN,SF recognizes September 2024 as National Service Dog Awareness Month.,"""Non-Housing/NaN"", ""Aye"", ""Resolution recognizing September 2024 as National Service Dog Awareness Month in the City and County of San Francisco.""",0.0,0.0,0.0,0.0,0.0
174,2024-09-09 00:00:00,"Resolution adding the commemorative street name """"Aubrey Abrakasa, Jr. Street"""" to the 1500 Block of Grove Street to honor the legacy and life of Aubrey Abrakasa, Jr., and to bring attention to his tragic death and the need for action against gun violence.",Aye,Land Use and Transportation Committee,240772.0,Non-Housing,"SF honors Aubrey Abrakasa, Jr. with street name to raise awareness on gun violence.","""Non-Housing"", ""Aye"", ""Resolution adding the commemorative street name """"Aubrey Abrakasa, Jr. Street"""" to the 1500 Block of Grove Street to honor the legacy and life of Aubrey Abrakasa, Jr., and to bring attention to his tragic death and the need for action against gun violence.""",0.0,0.0,0.0,0.0,0.0
